entry_idx,entry_dt,dir,entry_price,impulse_start,ma_match,oracle_pnl,oracle_bar,conv_exit_idx,conv_reason,conv_pnl,conv_bars,conv_efficiency,fr_exit_idx,fr_reason,fr_pnl,fr_bars,fr_efficiency,hyb_exit_idx,hyb_reason,hyb_pnl,hyb_bars,hyb_efficiency
31,2025-12-01 00:31:00,SELL,91138.1,91331.5,MATCH,2939.7000000000116,120,42,TimeExit,-34.79999999998836,11,-1.1837942647204893,57.0,UnfavBreak,-59.39999999999418,26.0,-2.020614348402692,57.0,H:UnfavBreak,-59.39999999999418,26.0,-2.020614348402692
92,2025-12-01 01:32:00,SELL,90595.6,90996.6,MATCH,3675.600000000006,88,98,TimeExit,-17.09999999999127,6,-0.4652301665031897,242.0,TrailStop,3448.600000000006,150.0,93.8241375557732,242.0,H:TrailStop,3448.600000000006,150.0,93.8241375557732
153,2025-12-01 02:33:00,SELL,87917.1,89112.0,MATCH,997.1000000000058,27,161,TimeExit,-210.1999999999971,8,-21.081135292347394,242.0,TrailStop,770.1000000000058,89.0,77.23397853775964,242.0,H:TrailStop,770.1000000000058,89.0,77.23397853775964
220,2025-12-01 03:40:00,SELL,87367.2,87592.6,MISMATCH,1204.5,119,227,TimeExit,-68.80000000000291,7,-5.7119136571193785,242.0,TrailStop,220.1999999999971,22.0,18.281444582814206,227.0,TimeExit+Conv,-68.80000000000291,7.0,-5.7119136571193785
281,2025-12-01 04:41:00,SELL,86895.7,87269.1,MATCH,1206.8999999999942,109,446,EMACross,964.5999999999913,165,79.92377164636638,311.0,TrailStop,407.8999999999942,30.0,33.797332007622515,311.0,H:TrailStop,407.8999999999942,30.0,33.797332007622515
342,2025-12-01 05:42:00,SELL,86425.3,86573.0,MISMATCH,825.1000000000058,86,446,EMACross,494.1999999999971,104,59.895770209670786,367.0,TrailStop,73.90000000000873,25.0,8.9564901224104,446.0,H:EMACross,494.1999999999971,104.0,59.895770209670786
407,2025-12-01 06:47:00,BUY,85889.1,85688.8,MISMATCH,419.59999999999127,120,413,TimeExit,-107.30000000000291,6,-25.571973307913527,521.0,TrailStop,318.1999999999971,114.0,75.83412774070631,413.0,TimeExit+Conv,-107.30000000000291,6.0,-25.571973307913527
475,2025-12-01 07:55:00,BUY,85943.5,85640.8,MATCH,609.3000000000029,111,505,EMACross,132.3000000000029,30,21.713441654357833,521.0,TrailStop,263.8000000000029,46.0,43.295585097653316,521.0,H:TrailStop,263.8000000000029,46.0,43.295585097653316
536,2025-12-01 08:56:00,BUY,86290.6,86077.9,MATCH,559.7999999999884,120,542,TimeExit,-26.0,6,-4.644515898535287,637.0,TrailStop,342.5,101.0,61.18256520185908,566.0,TimeExit+FR,-96.5,30.0,-17.238299392640588
597,2025-12-01 09:57:00,BUY,86515.4,86298.8,MATCH,410.0,65,603,TimeExit,-82.89999999999418,6,-20.219512195120533,637.0,TrailStop,117.70000000001164,40.0,28.70731707317357,632.0,TimeExit+FR,-7.0,35.0,-1.707317073170732
658,2025-12-01 10:58:00,BUY,86837.8,86633.5,MATCH,87.59999999999127,4,664,TimeExit,-56.19999999999709,6,-64.15525114155558,734.0,UnfavBreak,-173.90000000000873,76.0,-198.51598173518957,688.0,TimeExit+FR,-223.40000000000873,30.0,-255.0228310502637
737,2025-12-01 12:17:00,SELL,86624.8,86805.5,MATCH,836.0,115,743,TimeExit,-12.099999999991269,6,-1.4473684210515874,766.0,UnfavBreak,-36.30000000000291,29.0,-4.342105263158243,766.0,H:UnfavBreak,-36.30000000000291,29.0,-4.342105263158243
798,2025-12-01 13:18:00,SELL,86438.7,86691.45,MATCH,1706.199999999997,92,804,TimeExit,-0.3000000000029104,6,-0.017582932833367183,932.0,TrailStop,653.8000000000029,134.0,38.31907162114664,932.0,H:TrailStop,653.8000000000029,134.0,38.31907162114664
859,2025-12-01 14:19:00,SELL,85886.4,86210.0,MATCH,1153.8999999999942,31,865,TimeExit,-69.80000000000291,6,-6.049051044284883,932.0,TrailStop,101.5,73.0,8.796256174711893,903.0,TimeExit+FR,-147.70000000001164,44.0,-12.800069330099001
920,2025-12-01 15:20:00,BUY,86038.7,85333.8,MATCH,623.9000000000087,77,926,TimeExit,-13.69999999999709,6,-2.1958647219100653,931.0,UnfavBreak,-194.6999999999971,11.0,-31.20692418656746,931.0,H:UnfavBreak,-194.6999999999971,11.0,-31.20692418656746
989,2025-12-01 16:29:00,BUY,86233.8,85945.6,MATCH,428.8000000000029,8,991,StructBreak,-301.8000000000029,2,-70.38246268656737,1178.0,TrailStop,-1313.5,189.0,-306.3199626865651,1019.0,TimeExit+FR,-182.1999999999971,30.0,-42.49067164179008
1050,2025-12-01 17:30:00,SELL,84854.7,85914.6,MATCH,1043.8999999999942,15,1072,TimeExit,-11.19999999999709,22,-1.0728997030364165,1177.0,UnfavBreak,-144.3000000000029,127.0,-13.823163138231987,1117.0,TimeExit+FR,-342.5,67.0,-32.80965609732751
1111,2025-12-01 18:31:00,BUY,84687.8,84029.7,MATCH,860.5999999999913,109,1131,TimeExit,-7.5,20,-0.871485010457829,1178.0,TrailStop,232.5,67.0,27.0160353241927,1142.0,TimeExit+FR,-85.69999999999709,31.0,-9.958168719497786
